Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-09T21:27:18-04:00
Running ./reclaim_vector_bm
Run on (8 X 24 MHz CPU s)
Load Average: 2.99, 2.38, 2.46
-------------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                 Time             CPU   Iterations UserCounters...
BM_reclaim_subscriber_scaling/subscribers:16/iterations:1000/manual_time_stddev        9.74 ns          459 ns           20 items_per_second=393.39k/s time_per_reclaiming_write=9.73605ns
BM_reclaim_subscriber_scaling/subscribers:16/iterations:1000/manual_time_cv            5.99 %          1.66 %            20 items_per_second=6.37% time_per_reclaiming_write=5.99%
BM_reclaim_subscriber_scaling/subscribers:32/iterations:1000/manual_time_mean           338 ns        28851 ns           20 items_per_second=2.96782M/s time_per_reclaiming_write=337.923ns
BM_reclaim_subscriber_scaling/subscribers:32/iterations:1000/manual_time_median         331 ns        28677 ns           20 items_per_second=3.01669M/s time_per_reclaiming_write=331.49ns
BM_reclaim_subscriber_scaling/subscribers:32/iterations:1000/manual_time_stddev        19.7 ns          823 ns           20 items_per_second=154.951k/s time_per_reclaiming_write=19.736ns
BM_reclaim_subscriber_scaling/subscribers:32/iterations:1000/manual_time_cv            5.84 %          2.85 %            20 items_per_second=5.22% time_per_reclaiming_write=5.84%
BM_reclaim_subscriber_scaling/subscribers:64/iterations:1000/manual_time_mean           681 ns        31033 ns           20 items_per_second=1.47072M/s time_per_reclaiming_write=680.574ns
BM_reclaim_subscriber_scaling/subscribers:64/iterations:1000/manual_time_median         679 ns        30974 ns           20 items_per_second=1.47212M/s time_per_reclaiming_write=679.293ns
BM_reclaim_subscriber_scaling/subscribers:64/iterations:1000/manual_time_stddev        21.3 ns          781 ns           20 items_per_second=46.1413k/s time_per_reclaiming_write=21.3179ns
BM_reclaim_subscriber_scaling/subscribers:64/iterations:1000/manual_time_cv            3.13 %          2.52 %            20 items_per_second=3.14% time_per_reclaiming_write=3.13%
BM_reclaim_subscriber_scaling/subscribers:128/iterations:1000/manual_time_mean         1502 ns        34504 ns           20 items_per_second=666.215k/s time_per_reclaiming_write=1.50164us
BM_reclaim_subscriber_scaling/subscribers:128/iterations:1000/manual_time_median       1497 ns        34418 ns           20 items_per_second=668.145k/s time_per_reclaiming_write=1.49668us
BM_reclaim_subscriber_scaling/subscribers:128/iterations:1000/manual_time_stddev       31.5 ns          905 ns           20 items_per_second=13.9102k/s time_per_reclaiming_write=31.5493ns
BM_reclaim_subscriber_scaling/subscribers:128/iterations:1000/manual_time_cv           2.10 %          2.62 %            20 items_per_second=2.09% time_per_reclaiming_write=2.10%
BM_reclaim_subscriber_scaling/iterations:1000/manual_time_BigO                        11.46 N        374.32 N    
BM_reclaim_subscriber_scaling/iterations:1000/manual_time_RMS                             9 %            74 %    
